i,j,acf_peak_lag_samples,acf_peak_period_days,acf_peak_value,psd_peak_freq_cyc_per_day,psd_peak_period_days,psd_peak_power
57,171,1,0.125,0.981801088346208,0.0027397260273972603,365.0,138.78630982123386
131,303,1,0.125,0.9770541948769768,0.0027397260273972603,365.0,156.6569546591306
1,421,1,0.125,0.9929965038357002,0.0027397260273972603,365.0,2170.4196039940875
72,403,1,0.125,0.9802288105884218,0.008219178082191782,121.66666666666666,173.68808015812243
152,361,1,0.125,0.9742180828212653,0.0027397260273972603,365.0,130.44873019318027
122,651,1,0.125,0.9789778572384163,0.008219178082191782,121.66666666666666,163.81440507164882
42,199,1,0.125,0.9897803367493699,0.0027397260273972603,365.0,352.5781105749153
54,519,1,0.125,0.9837665682039592,0.0027397260273972603,365.0,171.66076421449552
88,657,1,0.125,0.9783970400553177,0.008219178082191782,121.66666666666666,239.47835832545698
77,80,1,0.125,0.976820279018254,0.008219178082191782,121.66666666666666,188.40865581118584
8,356,1,0.125,0.9970070899342893,0.0027397260273972603,365.0,2071.594321841097
38,57,1,0.125,0.992101221118558,0.0027397260273972603,365.0,547.5246136287457
183,788,1,0.125,0.9833424127051965,0.0,inf,119.35460137075147
171,43,1,0.125,0.9764690283082554,0.0027397260273972603,365.0,142.28065969899325
141,454,1,0.125,0.9774560479887064,0.0027397260273972603,365.0,149.16197283520307
95,150,1,0.125,0.9775671148104119,0.008219178082191782,121.66666666666666,162.61043987353403
177,162,1,0.125,0.9789559521940885,0.0027397260273972603,365.0,133.69054222163285
33,190,1,0.125,0.9954374784135882,0.0027397260273972603,365.0,879.2169920772749
18,598,1,0.125,0.9975922140193383,0.0027397260273972603,365.0,1865.3057459391075
40,671,1,0.125,0.9915416781183964,0.0027397260273972603,365.0,328.86921543696945
159,608,1,0.125,0.9792755475502013,0.0027397260273972603,365.0,140.55298605014815
122,795,1,0.125,0.9808241718375131,0.008219178082191782,121.66666666666666,180.85116663044877
176,493,1,0.125,0.9813952309985051,0.0,inf,107.64530397175982
108,155,1,0.125,0.9769545842448525,0.008219178082191782,121.66666666666666,143.69339371521414
6,450,1,0.125,0.9963375108246375,0.0027397260273972603,365.0,2082.810155370898
141,656,1,0.125,0.9804427798696425,0.0027397260273972603,365.0,152.42008644503895
192,397,1,0.125,0.9858904313237253,0.0027397260273972603,365.0,109.99040871676702
145,263,1,0.125,0.9748651054902538,0.0027397260273972603,365.0,143.87493571808503
73,261,1,0.125,0.9786137825691275,0.008219178082191782,121.66666666666666,167.26767939664336
59,157,1,0.125,0.9813234410317755,0.008219178082191782,121.66666666666666,133.7150544107545
12,248,1,0.125,0.9973450414380286,0.0027397260273972603,365.0,2032.7332617905645
1,27,1,0.125,0.9934700571951484,0.0027397260273972603,365.0,2244.9184000121927
196,529,1,0.125,0.9831196503348897,0.0,inf,102.94940335346607
143,751,1,0.125,0.9813877836113483,0.0027397260273972603,365.0,146.95745673861512
76,8,1,0.125,0.9769884885713718,0.008219178082191782,121.66666666666666,198.20677455821584
56,239,1,0.125,0.9825075896064442,0.0027397260273972603,365.0,148.3022598298542
